word	part_of_speech	major	minor
드세다	형용사	인간	태도
든든하다	형용사	인간	감정
듣다01	동사	인간	신체 행위
들01	명사	경제생활	경제 행위 장소
들다01	동사	경제생활	경제 행위
들다04	동사	인간	신체 행위
들려오다	동사	인간	감각
들려주다	동사	인간	감각
들리다01	동사	삶	병과 증상
들리다02	동사	인간	감각
들썩이다	동사	인간	신체 행위
들어가다	동사	인간	신체 행위
들어오다	동사	인간	신체 행위
들여다보다	동사	인간	신체 행위
들여다보다	동사	인간	신체 행위
들이마시다02	동사	인간	신체 행위
들이켜다	동사	인간	신체 행위
들판	명사	자연	지형
듬뿍	부사	개념	양
등01	명사	인간	신체 부위
등골01	명사	인간	신체 부위
등교	명사	교육	교수 학습 행위
등급/ 등급00	명사/의존명사	개념	순서
등기	명사	사회생활	소통 수단
등반	명사	삶	여가 활동
등산	명사	삶	여가 활동
등산복	명사	의생활	옷 종류
등지	의존명사	개념	위치 및 방향
디디다	동사	인간	신체 행위
디자이너	명사	사회생활	직업
디자인	명사	개념	모양
딛다	동사	인간	신체 행위
따갑다	형용사	인간	감각
따님	명사	삶	친족 관계
따돌리다	동사	사회생활	사회 활동
따돌림00	명사	사회생활	사회 활동
따뜻하다	형용사	자연	기상 및 기후
따라서	부사	개념	접속
따지다	동사	사회생활	언어 행위
따지다	동사	경제생활	경제 행위
딱딱하다	형용사	개념	성질
딱하다	형용사	삶	삶의 상태
딴02	관형사	개념	성질
딴02	관형사	개념	성질
딸	명사	삶	친족 관계
딸기	명사	식생활	과일
땀01	명사	인간	생리 현상
땅	명사	자연	지형
땅콩	명사	식생활	곡류
때01	의존명사	개념	시간
때때로	부사	개념	시간
때로	부사	개념	시간
때리다	동사	인간	신체에 가하는 행위
때마침	부사	개념	시간
떡01	명사	식생활	음식
떡02	부사	개념	모양
떡국	명사	식생활	음식
떡볶이	명사	식생활	음식
떨구다	동사	인간	신체 행위
떨다01	동사	인간	신체 행위
떨다01	동사	인간	신체 행위
떨리다01	동사	인간	신체 행위
떨리다01	동사	인간	신체 행위
떫다	형용사	식생활	맛
떳떳하다	형용사	인간	태도
또다시	부사	개념	시간
또래	명사	인간	사람의 종류
또렷하다	형용사	개념	모양
또한	부사	개념	접속
똑00	부사	개념	모양
똑같다	형용사	개념	모양
똑같이	부사	개념	모양
